id,difficulty
0,B2
1,B1
2,A2
3,A1
4,B1
5,B2
6,B2
7,A2
8,B1
9,A1
10,A1
11,C1
12,C2
13,C1
14,A1
15,B2
16,B2
17,A1
18,B1
19,A2
20,C2
21,B2
22,C2
23,B2
24,C2
25,A2
26,C1
27,A1
28,B1
29,A2
30,A1
31,C2
32,A1
33,A1
34,A1
35,A1
36,C2
37,A2
38,A1
39,C1
40,A2
41,C2
42,A2
43,C1
44,C1
45,C2
46,B2
47,C1
48,A2
49,B1
50,C1
51,A1
52,C2
53,B1
54,A1
55,C2
56,B2
57,C1
58,B2
59,B1
60,C2
61,A2
62,B1
63,B2
64,A1
65,B2
66,B2
67,A2
68,A2
69,C2
70,A1
71,C1
72,B2
73,C1
74,B1
75,B2
76,A1
77,B2
78,A1
79,A2
80,A1
81,C1
82,B2
83,B1
84,B2
85,C1
86,B1
87,B1
88,B1
89,B1
90,C1
91,B2
92,C1
93,C2
94,B2
95,B1
96,C1
97,A2
98,A1
99,C1
100,C2
101,C1
102,A1
103,A2
104,A2
105,C2
106,A1
107,A1
108,A2
109,C2
110,B2
111,B1
112,C1
113,C1
114,C1
115,C1
116,C2
117,B1
118,A2
119,C2
120,A1
121,C2
122,A2
123,C2
124,A1
125,C1
126,B2
127,B2
128,C1
129,C2
130,A1
131,A2
132,B1
133,A2
134,C1
135,B2
136,A1
137,B1
138,A2
139,B1
140,A2
141,C2
142,C2
143,C1
144,B2
145,C1
146,A2
147,B1
148,C1
149,C1
150,A2
151,C1
152,A2
153,A2
154,A1
155,C1
156,C2
157,A1
158,B1
159,A1
160,C1
161,A1
162,C1
163,B1
164,A2
165,B2
166,A1
167,A1
168,C2
169,B2
170,A2
171,B1
172,A1
173,A2
174,C2
175,B2
176,C2
177,C1
178,C1
179,C1
180,A2
181,C2
182,B2
183,B1
184,B2
185,B1
186,A1
187,B1
188,C1
189,B1
190,C2
191,A2
192,B1
193,C1
194,A2
195,B2
196,C2
197,C2
198,C1
199,B1
200,B2
201,C2
202,B1
203,A1
204,B1
205,A1
206,A2
207,B2
208,A2
209,A1
210,C1
211,C2
212,B1
213,B1
214,B2
215,C1
216,C1
217,B2
218,A1
219,C1
220,C1
221,C1
222,A1
223,C2
224,A2
