id,difficulty
0,C2
1,B1
2,A2
3,A1
4,C2
5,C2
6,B2
7,A2
8,C1
9,A1
10,A2
11,A2
12,B1
13,A2
14,A1
15,A2
16,C1
17,A2
18,A1
19,A1
20,C2
21,A1
22,B2
23,C1
24,B1
25,C2
26,C1
27,A1
28,A1
29,A2
30,A1
31,C2
32,A1
33,A2
34,A2
35,A1
36,B2
37,B2
38,A1
39,A1
40,C1
41,B2
42,A1
43,C1
44,C2
45,B1
46,A2
47,C2
48,A1
49,A1
50,C1
51,A1
52,C1
53,A1
54,A1
55,C1
56,C2
57,C1
58,C2
59,A2
60,B2
61,A2
62,C1
63,C1
64,A1
65,B2
66,C1
67,A2
68,A2
69,C1
70,A1
71,B2
72,B2
73,A1
74,C1
75,A2
76,A1
77,C1
78,B1
79,A1
80,A2
81,A1
82,C1
83,C1
84,A1
85,C2
86,A2
87,B2
88,C2
89,C2
90,C2
91,A2
92,C1
93,C2
94,A1
95,A2
96,B2
97,A1
98,C2
99,C2
100,C1
101,A1
102,A1
103,A1
104,C2
105,C2
106,A1
107,C1
108,A2
109,C1
110,C1
111,C1
112,C1
113,C1
114,C2
115,A1
116,C1
117,B1
118,A2
119,C2
120,A1
121,C1
122,B1
123,B2
124,A2
125,C2
126,C1
127,B2
128,C1
129,C1
130,A2
131,A2
132,B2
133,A1
134,B2
135,C2
136,A2
137,A2
138,B1
139,A2
140,B1
141,C2
142,C2
143,C2
144,C1
145,B2
146,A1
147,B2
148,A1
149,B1
150,B2
151,C2
152,A1
153,B1
154,A1
155,B1
156,C1
157,A1
158,A1
159,A2
160,A2
161,A1
162,C1
163,A1
164,C1
165,C1
166,A1
167,A1
168,B1
169,A1
170,A1
171,A1
172,A1
173,B1
174,C1
175,B2
176,C1
177,C1
178,A2
179,C1
180,A2
181,C1
182,B2
183,A2
184,B2
185,A1
186,A2
187,A2
188,B2
189,A1
190,B2
191,C1
192,C1
193,C1
194,B1
195,A2
196,C1
197,A1
198,B2
199,A2
200,B2
201,C1
202,A2
203,A2
204,A1
205,A1
206,A1
207,B1
208,A1
209,A1
210,B2
211,A1
212,C1
213,C1
214,B2
215,C1
216,A2
217,C2
218,A1
219,B2
220,B2
221,C2
222,A1
223,B2
224,A2
225,C1
226,A2
227,B1
228,A1
229,A2
230,C1
231,C2
232,C1
233,A2
234,A2
235,C1
236,C1
237,A1
238,A1
239,C2
240,A2
241,B2
242,A1
243,A2
244,B2
245,A1
246,B2
247,B1
248,A1
249,B1
250,C1
251,B1
252,A1
253,A1
254,C1
255,C2
256,A2
257,A1
258,B2
259,C2
260,A2
261,A1
262,A1
263,A2
264,A2
265,A1
266,B1
267,B1
268,B2
269,C2
270,A1
271,A1
272,A1
273,C1
274,A2
275,B2
276,B2
277,A1
278,A1
279,B2
280,A1
281,C1
