id,difficulty
0,C2
1,B1
2,A2
3,A1
4,B1
5,B1
6,B2
7,A2
8,B1
9,A1
10,A1
11,C1
12,C2
13,C1
14,A1
15,B2
16,B2
17,A1
18,B1
19,A2
20,C2
21,A1
22,C2
23,B2
24,C2
25,A1
26,C1
27,A1
28,B1
29,A1
30,A1
31,C2
32,A2
33,A1
34,A1
35,A1
36,C2
37,A2
38,A1
39,A2
40,A2
41,B2
42,A2
43,C1
44,C1
45,C2
46,B2
47,C1
48,A2
49,A1
50,C1
51,A1
52,C2
53,A1
54,B2
55,C2
56,B2
57,C1
58,C1
59,B1
60,C2
61,A2
62,B1
63,B2
64,A1
65,B2
66,B2
67,A2
68,A2
69,C2
70,A1
71,C1
72,B2
73,A1
74,B1
75,B2
76,A1
77,B2
78,B1
79,A2
80,A1
81,A1
82,B2
83,B1
84,B2
85,B2
86,B1
87,C2
88,B1
89,A1
90,C1
91,B2
92,C1
93,C2
94,B2
95,B1
96,B1
97,A2
98,B1
99,C2
100,C2
101,C2
102,A1
103,A2
104,C2
105,C1
106,B1
107,A1
108,A2
109,C2
110,B2
111,B1
112,C1
113,C1
114,C2
115,C1
116,C2
117,B1
118,A2
119,C2
120,A1
121,C2
122,A2
123,C2
124,A1
125,C1
126,B2
127,B2
128,C1
129,C2
130,A1
131,A2
132,B1
133,A2
134,C1
135,B2
136,A1
137,B2
138,C2
139,B1
140,A2
141,C2
142,C2
143,C1
144,B2
145,C1
146,A2
147,B1
148,C1
149,C1
150,A2
151,C1
152,A2
153,A2
154,A1
155,C1
156,C2
157,A1
158,B1
159,A1
160,B1
161,A1
162,C1
163,B1
164,A2
165,C1
166,A1
167,A1
168,C2
169,A1
170,A2
171,B1
172,A1
173,A2
174,B2
175,B2
176,A1
177,C1
178,B1
179,C1
180,A2
181,C2
182,B2
183,B1
184,B2
185,B2
186,A1
187,B1
188,C1
189,B1
190,B2
191,A2
192,B1
193,C1
194,A2
195,C2
196,C2
197,C2
198,C1
199,B1
200,B2
201,C2
202,B1
203,A1
204,C1
205,A1
206,A2
207,B2
208,A2
209,A1
210,A2
211,C2
212,B1
213,B1
214,B2
215,C1
216,C1
217,C2
218,A1
219,C1
220,B2
221,C2
222,A1
223,C2
224,A2
225,C1
226,A2
227,A2
228,A1
229,A1
230,B2
231,B1
232,B2
233,A2
234,C2
235,B1
236,B1
237,B2
238,C2
239,B2
240,B1
241,B1
242,A1
243,A1
244,C1
245,A2
246,B2
247,C2
248,A1
249,C1
250,B1
251,A1
252,A1
253,B1
254,C1
255,C2
256,B1
257,A1
258,B2
259,C2
260,A1
261,A1
262,A1
263,B2
264,B2
265,B1
266,C2
267,B1
268,C1
269,B2
270,A1
271,B1
272,A2
273,B1
274,A2
275,B2
276,B2
277,A2
278,A1
279,B2
280,A2
281,C1
